item_id,agent_id,annotator_id,label
mhs_4602,0,1147,0
mhs_4602,0,1772,0
mhs_4602,0,351,0
mhs_4602,0,7222,0
mhs_4602,0,7383,0
mhs_2364,0,1147,2
mhs_2364,0,1772,2
mhs_2364,0,351,2
mhs_2364,0,7222,2
mhs_2364,0,7383,2
mhs_12271,0,1671,0
mhs_12271,0,2158,0
mhs_12271,0,4090,0
mhs_12271,0,415,0
mhs_12271,0,4656,0
mhs_10724,0,10505,0
mhs_10724,0,10538,0
mhs_10724,0,1256,0
mhs_10724,0,2196,0
mhs_10724,0,8746,0
mhs_18799,0,3627,2
mhs_18799,0,3643,2
mhs_18799,0,5341,2
mhs_18799,0,5701,2
mhs_18799,0,9411,2
mhs_16224,0,6031,0
mhs_16224,0,7671,0
mhs_16224,0,7992,0
mhs_16224,0,8436,0
mhs_16224,0,912,0
mhs_13831,0,3291,2
mhs_13831,0,5655,2
mhs_13831,0,7251,2
mhs_13831,0,7915,2
mhs_13831,0,9682,2
mhs_14327,0,2534,2
mhs_14327,0,4129,2
mhs_14327,0,474,2
mhs_14327,0,6584,2
mhs_14327,0,836,2
mhs_15414,0,2576,0
mhs_15414,0,2894,0
mhs_15414,0,3105,0
mhs_15414,0,4884,0
mhs_15414,0,5323,0
mhs_1479,0,10731,0
mhs_1479,0,5954,0
mhs_1479,0,6351,0
mhs_1479,0,6359,0
mhs_1479,0,8728,0
mhs_8393,0,1320,2
mhs_8393,0,1352,2
mhs_8393,0,4380,2
mhs_8393,0,6870,2
mhs_8393,0,6873,2
mhs_19639,0,1671,0
mhs_19639,0,4090,0
mhs_19639,0,415,0
mhs_19639,0,4656,0
mhs_19639,0,478,0
mhs_6185,0,1873,1
mhs_6185,0,2712,1
mhs_6185,0,3116,1
mhs_6185,0,5809,1
mhs_6185,0,6330,1
mhs_17609,0,11032,0
mhs_17609,0,4039,0
mhs_17609,0,762,0
mhs_17609,0,9668,0
mhs_17609,0,9899,0
mhs_7903,0,11035,0
mhs_7903,0,2016,0
mhs_7903,0,3085,0
mhs_7903,0,4914,0
mhs_7903,0,8336,0
mhs_14257,0,1320,0
mhs_14257,0,4380,0
mhs_14257,0,6492,0
mhs_14257,0,6870,0
mhs_14257,0,6873,0
mhs_14080,0,2411,2
mhs_14080,0,3520,2
mhs_14080,0,7350,2
mhs_14080,0,9450,2
mhs_14080,0,9464,2
mhs_5599,0,2644,0
mhs_5599,0,3171,0
mhs_5599,0,446,0
mhs_5599,0,7012,0
mhs_5599,0,9576,0
mhs_17796,0,1803,0
mhs_17796,0,5228,0
mhs_17796,0,5653,0
mhs_17796,0,7408,0
mhs_17796,0,7951,0
mhs_1878,0,2440,0
mhs_1878,0,3627,0
mhs_1878,0,3643,0
mhs_1878,0,8555,0
mhs_1878,0,9411,0
mhs_8619,0,10352,0
mhs_8619,0,2098,0
mhs_8619,0,3075,0
mhs_8619,0,3520,0
mhs_8619,0,7350,0
mhs_5606,0,1708,1
mhs_5606,0,2249,1
mhs_5606,0,3585,1
mhs_5606,0,5990,1
mhs_5606,0,6003,1
mhs_17728,0,10077,0
mhs_17728,0,3846,0
mhs_17728,0,6796,0
mhs_17728,0,7463,0
mhs_17728,0,9259,0
mhs_13836,0,10297,0
mhs_13836,0,2548,0
mhs_13836,0,4722,0
mhs_13836,0,5649,0
mhs_13836,0,5961,0
mhs_6964,0,10197,0
mhs_6964,0,1575,0
mhs_6964,0,3287,0
mhs_6964,0,3481,0
mhs_6964,0,9405,0
mhs_14134,0,4755,0
mhs_14134,0,5334,0
mhs_14134,0,7501,0
mhs_14134,0,8363,0
mhs_14134,0,84,0
mhs_6634,0,2149,0
mhs_6634,0,5812,0
mhs_6634,0,626,0
mhs_6634,0,7942,0
mhs_6634,0,8871,0
mhs_4474,0,4905,0
mhs_4474,0,4968,0
mhs_4474,0,5855,0
mhs_4474,0,7156,0
mhs_4474,0,8229,0
mhs_6781,0,1019,1
mhs_6781,0,10656,1
mhs_6781,0,1370,1
mhs_6781,0,3626,1
mhs_6781,0,9365,1
mhs_1224,0,10286,0
mhs_1224,0,286,0
mhs_1224,0,6245,0
mhs_1224,0,7502,0
mhs_1224,0,7894,0
mhs_2546,0,10534,0
mhs_2546,0,498,0
mhs_2546,0,7128,0
mhs_2546,0,8947,0
mhs_2546,0,9854,0
mhs_2290,0,291,2
mhs_2290,0,5272,2
mhs_2290,0,6889,2
mhs_2290,0,9312,2
mhs_2290,0,9434,2
mhs_1647,0,10077,2
mhs_1647,0,4556,2
mhs_1647,0,6796,2
mhs_1647,0,7463,2
mhs_1647,0,9259,2
mhs_16630,0,3291,0
mhs_16630,0,5655,0
mhs_16630,0,7553,0
mhs_16630,0,7915,0
mhs_16630,0,9682,0
mhs_8563,0,1019,0
mhs_8563,0,10656,0
mhs_8563,0,1370,0
mhs_8563,0,3626,0
mhs_8563,0,5700,0
mhs_13749,0,1320,0
mhs_13749,0,4380,0
mhs_13749,0,6492,0
mhs_13749,0,6870,0
mhs_13749,0,6873,0
mhs_16057,0,10374,2
mhs_16057,0,2799,2
mhs_16057,0,640,2
mhs_16057,0,7564,2
mhs_16057,0,8929,2
mhs_8223,0,1873,2
mhs_8223,0,2712,2
mhs_8223,0,3116,2
mhs_8223,0,5809,2
mhs_8223,0,7017,2
mhs_19104,0,10560,0
mhs_19104,0,10873,0
mhs_19104,0,6008,0
mhs_19104,0,7391,0
mhs_19104,0,9099,0
mhs_1015,0,2456,2
